panoid,lat,lon,heading_deg,year,month,country_code
jLmq77fvXO4-heQdyKG9Cw,52.745155,-1.355051,280.28,2009,9,GB
NwUlayndzlE1e80kdd7oGw,35.420239,-118.966986,49.23,2022,4,US
uEHtqBnSWcvJbBmiDQZkgA,39.64654,-104.735049,168.85,2007,10,US
-BQPrb4JYN8O_JYh49euyA,35.593196,139.457427,19.67,2025,8,JP
5OrhPKctijMRYmmvTZFk-Q,4.562149,-74.225847,246.88,2025,6,CO
yeY7LEzEAPmRHZr8PZBYHQ,31.12179,-97.751249,96.88,2024,3,US
-RbDAP3TmagmOklw5qFxvw,56.646641,66.265228,196.17,2013,7,RU
mHHi6Q8-FHl1XiRTiSs5nQ,-29.131402,26.235527,9.09,2024,8,ZA
xqn--PPXZa1mjULFSNWoUQ,47.217858,18.671664,229.6,2023,6,HU
b0eXouIeuSaj_5V3OGntqA,25.346646,51.494748,88.01,2023,2,QA
FkAtXO6coNej1cc6qh0B6w,41.277809,-96.184547,106.15,2024,9,US
V6cDvY4d5ipp9FblC3mVWA,34.504941,35.964369,213.36,2023,5,LB
EHoJBdDb1xWZj-I1FKXQgQ,53.278102,36.570305,217.07,2019,6,RU
d-vupgjiideXlKOz8Il_Fg,4.19921,-74.640728,158.29,2013,1,CO
_z3P4zYgEAyJRJT4DsDksg,33.01339,-116.814252,95.88,2025,10,US
vu6ztRiXHwgaDESXJlattg,43.204068,-88.73414,334.31,2024,9,US
vb2cwdpJw_p5cwMF97BOrA,46.573056,40.649669,143.71,2014,10,RU
7YxeGl4JDiLesoah6oHk3g,-23.411179,-46.398956,341.37,2025,1,BR
U-6CKZX1fs2sLP1rR8445g,38.655911,-121.280016,80.22,2025,2,US
7hrjz7G2rnfPB0VQP4NEPQ,55.96617,37.440166,352.97,2019,5,RU
AVq9UntacE2MgamTx7wctw,31.199766,-83.789887,92.12,2026,1,US
9z_Nhp6rN5GCuZGw4UFQAg,22.370458,-97.901587,337.3,2025,5,MX
np7MbqfykOXmWTmhrXWhCA,-1.271869,36.848825,349.25,2024,7,KE
aCRuK0iju1ARGYAr6X7l4Q,49.308423,6.151895,47.37,2025,7,FR
i86id67FFn3X32QkUsGT6g,6.165701,6.843632,336.75,2020,1,NG
t20w4MqyO4qbwPRQ00Tx2g,53.479992,-2.223356,135.02,2025,3,GB
E05VF6o5wC04W5yI-0SzfQ,25.653993,84.975779,287.95,2023,4,IN
ETivwAFAr-ZTlvyBhM1bjQ,35.894978,140.093133,217.2,2022,11,JP
0BbxairzydATgBAR4iZWlg,34.431492,135.398884,289.18,2018,10,JP
n11PNxZMKmg5HHymm5f7PA,-38.678064,-62.302303,318.25,2023,10,AR
U7p8GmO-smotDbSbPp2CEg,33.572159,133.702505,345.21,2023,2,JP
Sy26JwEYs8bWBdvwKWvB-A,-31.902729,115.876792,135.52,2024,1,AU
aW_bLj0ybxPjJ76rttTGcg,33.391415,-84.137162,334.04,2025,2,US
pZhH952Eug7rZ8ZJEO0DFA,-0.08538,-78.515977,1.21,2024,7,EC
6DFUkO19vplMH_THoYZZog,51.479685,-0.439213,4.97,2021,1,GB
TEkZ6limIdFFPtVy1FkeVg,20.943741,-89.715018,187.84,2025,4,MX
nJaawCBY_7j1oT5lclqDwQ,19.225896,-99.626569,41.62,2024,3,MX
_Q9d7Pd4Tv8cvfJ4EBEXnA,10.771477,76.671309,221.68,2023,3,IN
4pm98eGpLiCYWUvv469Tzw,35.533659,139.765479,306.37,2025,8,JP
ZwN7XEFy1bBluGwm7vC7Vw,32.779371,-117.196896,213.8,2025,1,US
jpVmSmVMn4Hv8HJpFzt8VQ,36.613702,136.906855,190.98,2023,11,JP
yHu8Wo9xArrQgVqA69J3Fg,25.587935,-100.268943,77.92,2024,10,MX
BhEeC158Ck94K0aYd2sWmg,36.892134,140.739548,254.22,2023,11,JP
6ilIiV2EG_YoXo9OfPfPCg,39.949448,-82.914277,184.03,2021,7,US
TcJtykbcfmPvrP2q8m-owQ,10.318386,123.887918,71.19,2022,8,PH
6LJv2slJN2wtAbUE5v-1aQ,19.517412,-99.140151,108.36,2025,1,MX
QJlHQeQTP8RLwClguLw4xQ,42.299946,-88.028847,94.54,2024,7,US
MjmA541sT285Y-4i0ieBXQ,-22.964119,30.570115,174.65,2025,5,ZA
tRnoXnfI2MXlVopazthxRA,-26.255934,28.047855,55.64,2025,8,ZA
2pRcvWW3Th7AuYy1fantoA,49.692646,-112.809018,180.31,2024,6,CA
ZiFEiGWy8lFSRKDuTI1WWQ,39.967034,-82.886076,95.88,2024,6,US
M_NKaroVrEZPKuzVb8H84g,37.907499,40.082488,167.71,2025,3,TR
2y8-rUq5OvZ578uCMlaSiQ,40.765882,29.758748,117.78,2021,5,TR
fCcuwEsuUMhSBfkqqxM5Jg,35.110171,139.835799,107.57,2023,3,JP
o_eJ5xctzdgpD9eBH-KHng,54.657076,-1.670047,279.46,2024,8,GB
R-NxUvKftuAU0exkCqh4Lw,33.974232,-84.207024,343.61,2025,12,US
LpnR5cz1mVlb72pfNALhdA,20.216086,106.398638,239.58,2021,6,VN
rVX2ATzLbXtJ4zC2okkycA,24.066776,90.97508,303.67,2025,10,BD
2LEUPCWMcrWzPt13Kejj6Q,55.752415,37.903114,91.16,2021,6,RU
F1vOVyq8VG4HUgZC-emwLw,50.831655,3.214599,29.08,2025,6,BE
cR8b53F2uI0KSL3DsCZQsA,44.900556,-0.235883,114.29,2025,4,FR
ESjGAY6gkPM4ygtYeyhVfA,5.837413,5.731743,11.34,2020,1,NG
lAGJABYugoucGT3C3NXyjQ,51.539756,0.04433,158.77,2019,4,GB
-ifgF7dWxzrE-O_lRQe2zw,51.140754,17.036946,63.12,2025,8,PL
s08df7yJLmsmLPCU2BQW1w,34.190816,-97.164642,0.11,2022,6,US
yG5v02szGy_ULDRSSvJtTQ,13.652134,100.482946,116.27,2024,1,TH
bIB-BxfCXHPNWCmyczIb5w,19.089616,-98.235663,16.41,2024,4,MX
5act_Z6kKh6eCG3psv6X3Q,55.998429,92.799586,31.09,2021,6,RU
lf9KZt3a2qOtvY3jm655QA,52.674301,5.076959,68.3,2025,5,NL
sLhVh6un5owtUwdbUjgbIA,44.649115,41.966759,215.83,2019,8,RU
aAN0yHJBQYzNZpQk8rejbQ,52.787409,6.132502,35.12,2025,6,NL
zId9nLWEGrOj8O0Cm8hZvg,36.434369,140.00628,201.53,2023,3,JP
9IKAqsina3iBafNr38VtxQ,64.807678,-147.765628,89.27,2011,7,US
bmre23GuFEKwYW7vuD3BWw,22.133503,-100.944088,297.05,2025,1,MX
tnMEGE2ZKf3aCKO4T4XiNA,34.082675,134.496981,183.39,2025,4,JP
ruhwNv6fkI10RndVbQWjOw,-33.729696,151.296969,358.07,2025,6,AU
fZc2wrvAq6qCnVsSby13Ig,51.176418,6.679505,267.84,2022,11,DE
i0YFy-PzOoIghKekrYGSzg,50.068449,19.897032,280.59,2025,8,PL
5q1AWiFV0TBMfqeFqxzFsQ,28.557635,77.546394,119.71,2022,5,IN
UvoZEeSooDjIxseQVXQnxA,-34.020808,18.742991,48.89,2024,8,ZA
Wea4W0b_Sfl3C9PdbYU_Mg,-23.420198,-49.087922,185.79,2024,11,BR
oOVHIvaiNtSHoLtCStV5Mw,10.303851,124.012965,110.51,2015,11,PH
um1EGwgfdGR7EaI8YAX7JQ,3.014875,101.804111,320.39,2024,9,MY
hpy0hsw4vqN1-Yi3zR6flg,39.274827,-76.729523,351.27,2007,11,US
mLsvFD7axk3VHgfmMysgQw,51.921041,4.460456,351.66,2022,10,NL
wtXEV2xdCh_qyXV1QZDqdA,35.11719,-90.001425,260.11,2025,9,US
unFoRFy_6Ngo6S4ZErhjbQ,18.95624,-99.669122,174.59,2023,4,MX
I53TWoaLIfcsY-bcRm-UYg,15.005044,103.100954,101.5,2023,8,TH
0kb7b5nhqzWSEMZiAG_5Vw,31.80736,35.165408,224.19,2011,10,IL
15BawOhjL8P553-DXb8hnQ,42.447547,-70.995892,312.28,2012,8,US
pyqGAGvmni0qKNMXUmOzeg,46.25491,6.118873,242.26,2013,9,FR
Wqdyx-22dexYuSA6He379A,-25.336057,-57.582175,51.13,2024,7,PY
MhqHHns1erFEGwIKVYh6gQ,38.373217,27.095427,333.01,2015,9,TR
S3nOWOo2atpcil8IBhCE2w,-23.869352,31.054082,156.05,2024,11,ZA
LBSREdN37_DBASnAfOt18g,21.186816,79.096381,176.91,2022,6,IN
NiNXGLug3IZR3Ep3clLbeg,41.634134,-0.744716,216.4,2012,7,ES
AG_ijn3vNKEYPS4jf7Rzow,35.386286,-97.665675,320.52,2025,5,US
HMEIG8C9slNQ0Xs3pHj0lw,41.432578,-81.697876,264.48,2022,8,US
JCrOfTwqz1n32WD1i-x5cQ,55.802398,37.805969,83.35,2018,6,RU
OL145LBL6zHCnPfZEaaDFw,55.129736,61.451375,221.05,2021,8,RU
eYwYQrvCSgOEXTbpjy4umw,19.769198,105.785501,302.32,2017,6,VN
MeJeb-pYfJ7Hyn-4lEaAxQ,51.530946,6.781832,81.23,2022,7,DE
5_6h9V1t4bbkrcpQ6LGXiw,50.893012,5.738988,304.0,2023,8,NL
nAMRnK8QnY1-J5AXFJc6ug,39.108231,-119.752028,270.93,2024,7,US
Q7FyGN7StNltfbTWbBDoPw,50.366357,116.55419,161.07,2013,7,RU
72nt548K4DANQRKPg6iIeQ,42.94097,74.621708,215.63,2015,11,KG
NJI0VPwFaPplDyxJtKQrHg,28.093728,-15.447693,209.31,2022,11,ES
y6OPdcXXzm8np9xnMVF-XQ,43.365982,-80.700419,338.26,2023,8,CA
pQBbJddnmLb5lDC6bYS_jQ,43.745299,-88.463853,35.12,2024,4,US
k8Kp9OiAJUZjno0XwWwB7g,59.1268,15.123812,61.55,2025,7,SE
jpIEyfmp5k_YBIGV3xbctA,51.491596,-0.496018,344.42,2025,7,GB
4xFLOg_EKWrYrAGV1hrEqA,45.414987,-122.76269,125.64,2024,6,US
ZSMlafpFxnMh4iatXEio9Q,40.087061,-74.956354,193.26,2022,8,US
la267scSs6RjoroLGVlryg,56.341742,43.826772,88.29,2018,9,RU
oqXI0I_YqZT4wt0SghEVVQ,22.786987,75.902581,199.82,2025,10,IN
Y0-g8wBJGPt3JHZ4xkp-Ow,34.792689,-106.767148,33.36,2023,10,US
CanO05LwRIrENs7w0vx6dA,49.25368,3.98995,115.64,2022,3,FR
boIIxHLo2scLa6KAbik11A,34.545993,-82.701176,309.11,2023,7,US
-pnWsJVhngrAyaYPwtVOwg,-38.334303,144.975737,151.89,2023,4,AU
5ndbRAfObfqPWQLdVCJrpg,43.368025,17.824357,68.87,2024,6,BA
l0S634LMsf-LTxr6BuYkPw,-37.871611,144.686034,186.52,2021,12,AU
VuhgnHjYcRfWLKBy0UVfTQ,-2.056777,101.391573,153.81,2024,7,ID
-U1iDcDl2HbI1q7W7UXKeQ,19.551517,-98.91473,94.92,2024,4,MX
riVWz-BuvEovSfUy2G1mbA,10.812734,106.720225,57.29,2020,3,VN
wOZiH_o4Wi42YB9ei0-Zfw,35.964531,-89.959583,359.78,2023,5,US
ASorFQMtIBKIcDODXAl2Dw,20.442925,-99.967913,297.65,2025,9,MX
HuAc74PSQfZA0gL-xaIKcg,30.389324,-91.003068,166.96,2008,3,US
x2t1hXHrB-8GkJW5nsl_9g,-16.696631,-49.100766,143.57,2024,11,BR
dmaCIcWAEqktf_Niz_chzw,4.797283,7.058556,323.65,2024,6,NG
NtpxpUBsdzrcYJZP0bW6JQ,-32.538829,115.735598,108.67,2024,10,AU
iB-CVJJ898qxu7X9KO41ig,50.729041,2.747156,180.22,2022,8,FR
9kOVM91VI64ULZthglfcgw,50.49711,-104.668509,159.49,2025,6,CA
QaD-iSkgiavKU1xkRWR6ow,30.426354,-91.074253,237.44,2025,3,US
5bHgph3R4hOSvKQ1luHKRg,48.240112,-101.196507,89.55,2025,8,US
Tkx-xa8d_g-4LK1ESzCgzQ,45.584993,-70.897551,309.46,2024,10,CA
2bcyz20GzcpM1thPgl6Irw,37.644975,127.064973,249.65,2015,10,KR
oR_Uif_sqKIqRk57EbnaHg,59.389696,28.17596,246.1,2023,6,EE
K6psw-oo16Yl_sOCIRpROQ,50.445661,3.412428,260.49,2023,8,FR
HrwhBZFFLDDcRfa-YUCinQ,50.870116,3.813022,84.54,2023,6,BE
WdgEpytRhxMzL-DBmfhwTw,53.686264,-113.206248,269.87,2023,7,CA
ubFETkDQk_VGys1LIjvsUw,-4.137025,-38.233299,332.68,2012,6,BR
3bRzgJ-mcFiyAwvNWtrl-g,51.16218,16.909259,202.95,2022,6,PL
f4lCKGUQeGatzYu0OYR5xQ,43.564579,-90.889002,179.72,2025,9,US
h4rG01tUOI4yYYS6UDILsg,50.622773,38.380817,61.21,2013,9,RU
S5Gn_gTIVHLIbv-FxvbBJg,54.778597,11.870709,304.81,2025,10,DK
aaflxtp49VkAAAQrBwbN5g,30.749698,120.480581,291.49,2018,9,
-NPi86QVmVFUrpHI0f-ObQ,38.624378,21.402571,140.61,2025,8,GR
SZOs__M_5GxjQ0Pv7W28-w,41.082428,1.167915,241.34,2022,7,ES
6u3fSODX0STWQw2OAUunoQ,51.154644,4.052876,329.3,2023,5,BE
20KZyYUFimso3iOCJF3QgQ,36.342953,140.296245,262.65,2025,8,JP
9wqd2NzDsGrh8fsncs2mMA,26.099986,74.341236,6.72,2023,4,IN
YtRjQLKVbip8K3id8kS-NA,47.138516,-122.439254,258.27,2023,6,US
DSDdaEeczkZvm5ng-ZEy9A,52.291985,7.457277,48.66,2022,10,DE
dE6tCxZUerXzSVgxy9bmOw,50.281035,18.884333,135.78,2025,9,PL
3AkwkedfA0zO5JJT1ZWTqQ,48.410933,2.734516,310.84,2024,6,FR
YFK91XVMNrKaj88K7JxqNA,34.286898,135.37594,78.83,2025,4,JP
fEx22GzetMzzSaiu9oCRxw,18.918123,-98.95894,254.52,2010,1,MX
dxumSYw__Hku9gYCpavEOw,-35.473208,149.103662,211.38,2020,11,AU
WDx0_8Ym62jt0MYT-sl66g,34.771814,135.379979,265.61,2025,11,JP
DixEIuSVKQ5donolhVB9Pg,57.421164,56.933439,304.92,2019,5,RU
L-NZsGYpNlPRgnhXZ7x1lQ,25.716573,-100.298334,66.01,2023,1,MX
j_O-vl__Bw5oZuaoEfB_TA,-12.254297,-76.904712,75.84,2025,9,PE
Nnl_Q10mpfc7hMFtY4gFCg,23.385326,85.368381,122.0,2025,11,IN
lb9448NeJUDMjH4laBSJiQ,-26.736984,-48.684068,253.07,2025,6,BR
rm9rmFjQlFKkvg8s2vF_pg,39.351479,-85.468411,269.4,2024,8,US
kMLHBlwLp9Y4_5VWaD0SJQ,40.30685,-111.746473,332.74,2021,8,US
ppZ5_7tXT0TtDkDEWwh7Nw,47.814516,7.556746,62.91,2022,4,DE
X9URKy85fCQAzM6zgU9-kA,45.335174,-122.774,294.48,2025,6,US
MQNtC-OFl-7wj2rda6fJxA,38.715139,-90.303842,27.65,2021,8,US
yfhv3O3Ls9iv0GlKI9jKsA,42.59236,26.697869,231.88,2021,4,BG
AXYbO5YvoGe1yqYvvUqlJQ,52.033707,-1.163886,69.53,2008,10,GB
JKJl1aar_huw6yY1AlGyuA,39.275997,-121.676328,269.37,2023,6,US
PhyeM-eWFHPFtmTDjOCglA,-27.623415,-48.524752,82.94,2013,7,BR
FpMZt9m4NWM0is6tvKT5og,50.238221,11.334708,93.1,2022,9,DE
0xM9bkV-5Yb4TooY2FL7hA,38.604469,-90.396092,282.83,2022,5,US
EUNg88Hjdxc_9vriC5QSYg,30.713985,76.758276,139.39,2025,10,IN
z4YxpjL0R7XuVTbg3SZTlA,-32.82571,-68.804287,16.67,2019,7,AR
fKpsy_wmuuvesG89zQ4uxg,56.014001,92.814658,356.85,2021,6,RU
-2iWVzkrkM70ppySgCgBnA,31.638131,-106.440141,115.68,2021,8,MX
rJFG1HjnvPFhiMoa1ySTzg,40.805392,-74.166348,22.86,2025,7,US
1BF3Ze1kbJUqQeE3Gf0BBA,-21.141736,-47.98994,127.68,2021,8,BR
GutHYEWzbnS4s48yiEHnaw,20.963204,-89.557841,182.4,2025,1,MX
L-pzHANKF03RHKFPBtlBOg,24.830142,-107.424725,110.58,2023,6,MX
FT7DumrU-hUi48Yq32ek9g,29.765429,-95.559297,20.56,2022,4,US
V_wdX9kuCT8P4orn6u4Imw,27.430578,-82.445882,226.0,2023,4,US
IcT5-MnywRdNr01aI1BeyQ,-37.934141,-57.552362,43.28,2025,1,AR
QgPhJte-0ujlCp40gG4dvQ,-27.952156,26.826806,33.36,2022,7,ZA
lv5ccni78KD5bV7YpQGlkg,22.245872,70.813127,332.37,2022,12,IN
jj3QrkcIvivOwjcsF6D51g,-21.610997,-48.351551,309.36,2024,2,BR
1ZNm36qFmdmVRgXhtP4pJg,13.118066,99.931694,37.02,2024,7,TH
3aooPJ6fxG1FtVKMyIbBOA,10.653121,122.961355,66.24,2024,2,PH
KAn6aMB4Ik5oN9RCvBMCyQ,-25.343233,-49.24228,237.3,2025,7,BR
Ee1sCV5Oup6hR1MdmM1WXA,52.009546,106.867464,36.04,2021,7,RU
NgP4WcQ2QhLKeGggc3YUIg,33.671829,-117.392796,27.22,2024,1,US
Tr7pxEt6U7ztsuONIp5Asg,60.460371,5.319658,18.37,2023,8,NO
H2acWirMU_CGBm2fEhquew,13.721559,100.649366,5.93,2023,10,TH
g_nWU2PgUKkNRp96uSmhow,39.581458,-84.218342,25.18,2011,9,US
d5KzzNX1-DEQdfB6ygaOAg,-16.673563,-49.190402,246.5,2018,10,BR
eD8Evjtv-4d2fRBQaCWqog,37.217599,38.796809,354.1,2022,10,TR
OGZpOXm39MiBvMsFCMO0KA,49.807844,-97.048665,152.36,2016,8,CA
0BcIl3rcY1qbU2GwqOq-sQ,10.269425,11.153493,348.5,2022,5,NG
7r3vzDkhtugjOW3QflskbA,19.547934,-98.884229,5.61,2024,4,MX
IDvcrQ1P5Gg6BO_mrjzT3Q,39.14478,-84.587067,97.07,2024,6,US
SoNH9jslLpPd9rXMqCpXxQ,34.745746,-120.513832,39.92,2025,9,US
2_3dEtSwTXUxBkYL1GzzXw,34.503563,133.770809,231.37,2023,2,JP
uwML7sjDRglK1uYRxmEzNw,42.452092,-73.240525,229.79,2025,9,US
UooObQpubbrJAsFPLIkbIw,37.019083,36.632177,291.95,2020,4,TR
f3o2C_OC1DEU_38nIFvl_A,47.671584,16.591257,130.11,2025,7,HU
bvjI3GWnIFbrV-tjaJV0hg,7.25572,5.145878,6.36,2024,1,NG
Az8msWtS-wzMzdPtRbOcyQ,52.283977,20.872348,93.13,2023,6,PL
gCgJoOx7Iezpd-JsSsQVoA,50.960856,3.133595,188.58,2013,11,BE
opMAZm5HO7X0Fz4E5ETDrQ,48.692213,44.497649,133.44,2021,4,RU
XHiCDz9VAphmjGwB-levVg,26.924739,-101.440865,20.74,2023,11,MX
KieYoOdwPjlaLcofDFcrEg,52.165033,20.930896,142.14,2024,7,PL
IYlR6Fn6dp2wsb9aaWr0pw,33.107354,-80.118509,180.91,2025,10,US
qx2SeFhyvCN8aFCfEjfhhg,43.431866,6.774009,58.91,2022,3,FR
mbOOFFGrkfjUrqFJl-JMnA,37.992064,-121.228633,161.83,2026,1,US
dmFs9JoRbbs8bivylORPJw,-37.782649,145.307763,190.22,2021,5,AU
tX8MoQWjNtxHfKl9lJdxSg,38.965417,-94.262019,272.4,2024,9,US
fXTOAM0tGnKe2bg0Z9UgIg,55.602557,12.319218,91.18,2022,9,DK
QORL5xLxHsKacEw3tLThxA,-29.677166,-53.793202,94.63,2025,4,BR
migvYrP4WDKeHXRmCEisVg,27.510563,-99.494909,3.58,2024,3,US
T5NMq3aH_7KUk7UAAZJzGw,40.059633,18.017622,337.67,2025,6,IT
ZQsuPwDTlpDcQ1PJUHApFQ,7.621941,5.182881,22.4,2022,8,NG
8DKPF2i_PGHC-V5rekPcRw,42.511658,-70.887687,172.25,2021,11,US
fcYeFvfLRP4vfXBJWynNdw,62.123715,65.353172,243.33,2021,6,RU
fhy4QyISnVr2qEdL2mo3GA,41.080105,-83.635434,270.43,2025,3,US
nDoZqr3wxsCjUUAFq6rvmg,-23.315197,-51.130429,312.35,2025,5,BR
